Fecha,Semana,DiaMes,Mes,DiasSem,KG_15EMPA09,KG_15EMPA10,KG_15PREM01,KG_15MEZC08,KG_15MOLI07,KG_15AHUM10,KG_15FORM02,KG_15SEPA02,KG_15MEZC06,KG_15AHUM01,KG_15FORM01,KG_15SEPA01,KG_15AHUM09,KG_15EMBU01,KG_15EMPM06,KG_15TUNE01,KG_15MEZC07,KG_15MOLI01,KG_15MOLI06,KG_15EMPA11,KG_15EMPM01,KG_15MEZC05,KG_15MOLI03,KG_15HORN01,KG_15PORC03,KG_15TUNE03,KG_15EMPA06,KG_15EMPA02,KG_15MOLI02,KG_15SELL02,KG_15MEZC04,KG_15MOLI08,KG_15TUNE02,KG_15PORC01,KG_15TUNE04,KG_15EMBU03,KG_15EMPA08,KG_15EMPM05,KG_15COCI01,KG_15EMPA04,KG_15TAJA02,KG_15EMUL01,KG_15SELL05,KG_15DOSI01,KG_15SELL06,KG_15SELL03,Hrs_15EMPA09,Hrs_15EMPA10,Hrs_15PREM01,Hrs_15MEZC08,Hrs_15MOLI07,Hrs_15AHUM10,Hrs_15FORM02,Hrs_15SEPA02,Hrs_15MEZC06,Hrs_15AHUM01,Hrs_15FORM01,Hrs_15SEPA01,Hrs_15AHUM09,Hrs_15EMBU01,Hrs_15EMPM06,Hrs_15TUNE01,Hrs_15MEZC07,Hrs_15MOLI01,Hrs_15MOLI06,Hrs_15EMPA11,Hrs_15EMPM01,Hrs_15MEZC05,Hrs_15MOLI03,Hrs_15HORN01,Hrs_15PORC03,Hrs_15TUNE03,Hrs_15EMPA06,Hrs_15EMPA02,Hrs_15MOLI02,Hrs_15SELL02,Hrs_15MEZC04,Hrs_15MOLI08,Hrs_15TUNE02,Hrs_15PORC01,Hrs_15TUNE04,Hrs_15EMBU03,Hrs_15EMPA08,Hrs_15EMPM05,Hrs_15COCI01,Hrs_15EMPA04,Hrs_15TAJA02,Hrs_15EMUL01,Hrs_15SELL05,Hrs_15DOSI01,Hrs_15SELL06,Hrs_15SELL03,energia
12/02/2018,7,12,2,1,22201,23849,23,48618,54361,46131,48618,46131,24837,23757,24929,23757,43585,43857,41152,43585,43857,43857,43857,6976,11529,6225,6225,5693,5693,5693,2127,21123,35246,9315,11974,11974,9342,9315,11911,2631,2596,2596,2631,2259,2259,2434,0,3592,1170,0,12.78,14.17,0.45,9.47,10.29,13.02,52.93,41.98,6.84,8.82,27.52,26.4,45.22,16.2,6.89,38.94,16.13,9.02,4.91,20.94,14.74,9.97,2.01,17.52,17.46,17.41,3.35,15.91,3.87,9.55,10.09,2.22,5.94,9.6,14.71,2.81,2.75,2.53,2.35,8.16,8.16,0.26,0,11.8,2.95,0,35797.68
13/02/2018,7,13,2,2,24285,26285,24,53509,77637,51248,53619,51248,26594,25012,26689,25012,42756,43031,41019,42756,43031,38327,43031,6513,10705,5973,5973,5456,5456,5456,8531,16650,28081,7449,12612,12612,8523,8495,12522,4089,4027,4027,4089,1612,1612,1737,297,3269,0,749,10.09,10.17,0.45,10.19,14.87,10.83,44.41,40.82,7.53,11.14,36.13,33.23,45.15,15.3,7.06,38.78,15.29,7.76,5.07,39.96,15.68,9.35,2.01,16.77,16.72,16.67,11.07,15.65,3.34,7.88,10.94,2.33,5.85,8.96,17.25,4.33,4.34,3.93,3.66,5.83,5.83,0.18,0.6,20.65,0,2,36442.08
14/02/2018,7,14,2,3,20939,16431,14,42169,43799,40047,42169,40047,20785,19898,20837,19898,42515,42781,39975,42515,42781,38138,42781,6542,10288,5883,5883,5361,5361,5361,601,21415,34485,7707,13386,13386,9244,9217,13296,4142,4079,4079,4142,2359,2359,2541,1510,3305,1175,0,11.11,10.22,0.29,8.11,8.42,11.16,45.33,35.79,5.79,7.38,22.91,22.13,44.92,15.85,7.05,38.77,15.53,7.89,4.85,19.38,14.7,9.94,1.97,16.29,16.25,16.2,0.66,16.42,3.78,7.1,11.06,2.42,5.88,9.5,15.84,4.38,4.39,3.98,3.7,8.52,8.52,0.27,3.04,10.86,2.96,0,31412.52
15/02/2018,7,15,2,4,27570,29001,30,58535,83841,56028,58652,56028,27671,26067,27807,26067,47256,47553,44545,47256,47553,47553,47553,6626,10335,6087,6087,5552,5552,5552,7262,17695,29788,7692,13394,13394,9279,9251,13304,4115,4053,4053,4115,2517,2517,2712,1559,3317,1189,0,11.85,11.37,0.57,11.21,16.06,12.09,49.75,45.09,7.76,11.46,37.12,34.07,49.52,16.75,7.21,42.24,17.22,9.6,5.53,40.36,14.88,10.26,2.05,16.93,16.88,16.84,9.35,16.1,3.54,7.08,11.08,2.43,5.9,9.53,15.86,4.36,4.36,3.95,3.68,9.09,9.09,0.29,3.14,20.96,3,0,39806.88
16/02/2018,7,16,2,5,24085,23171,21,48828,56316,46376,48829,46376,26747,25551,26836,25551,46571,46865,44611,46571,46865,46865,46865,6761,10356,6045,6045,5516,5516,5516,1829,22242,39438,7749,13475,13475,9316,9288,13390,4159,4102,4102,4159,1820,1820,1961,1539,3489,1168,0,13.4,13.77,0.42,9.36,10.64,12.91,52.46,42.13,7.34,9.53,29.8,28.54,48.77,16.19,7.07,41.56,17.06,9.66,5.33,20.08,14.82,10.18,2.03,16.84,16.79,16.74,2.44,17.53,4.31,7.14,11.14,2.44,5.92,9.57,16.02,4.44,4.35,4,3.72,6.58,6.58,0.21,3.3,11.46,2.95,0,34684.2
17/02/2018,7,17,2,6,19410,20360,20,35582,59542,34033,35667,34033,23959,22529,24052,22529,25711,25881,25711,25711,25881,25881,25881,6717,11498,5996,5996,5477,5477,5477,2965,13431,15901,7785,9364,9364,9364,9336,9336,0,0,0,0,0,0,0,1551,3472,0,0,8.32,8.05,0.38,6.94,11.28,7.36,30.59,27.72,6.83,10.17,33.01,30.3,26.19,8.84,4.11,22.34,9.18,5.25,3.05,20.18,18.01,9.41,2.03,16.85,16.8,16.75,4.53,13.1,1.93,7.17,8.27,1.85,5.95,9.62,12.43,0,0,0,0,0,0,0,3.13,11.41,0,0,28196.28
18/02/2018,7,18,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15393.96
19/02/2018,8,19,2,1,21212,19705,18,50115,53452,47631,50116,47631,22601,21666,22694,21666,35379,35608,33781,35379,35608,30986,35608,6748,1084,6118,6118,5581,5581,5581,368,27382,40090,0,4191,4191,0,0,4127,4191,4127,4127,4191,1483,1483,1598,0,3431,1168,0,11.87,11.98,0.36,9.56,10.25,12.95,52.86,42.18,6.16,7.8,24.2,23.32,37.3,13.38,6,32.46,12.73,6.25,4.13,30.98,3.09,10.31,2.06,17.03,16.98,16.93,0.4,20.8,4.38,0,2.93,0.6,0,0,3.61,4.44,4.44,4.03,3.75,5.36,5.36,0.17,0,16.59,2.95,0,34887.24
20/02/2018,8,20,2,2,24929,28446,24,53301,73553,51031,53427,51031,22752,21397,22830,21397,41271,41480,39140,41271,41480,36809,41480,6702,11472,5996,5996,5475,5475,5475,8481,10096,26327,9288,13411,13411,9315,9288,13322,4096,4034,4034,4096,1978,1978,2131,0,3438,0,0,10.21,11.15,0.45,10.29,14.14,10.91,44.43,41.14,6.44,9.52,30.87,28.4,40.9,14.42,6.87,36.32,15.03,7.62,4.7,20.12,14.62,9.41,2.02,16.81,16.76,16.71,11.02,9.76,3.2,9.75,11.09,2.43,5.92,9.57,15.89,4.34,4.35,3.94,3.66,7.15,7.15,0.23,0,11.3,0,0,35137.44
21/02/2018,8,21,2,3,26192,18227,17,51390,54428,48941,51390,48941,22231,21291,22345,21291,41396,41573,38758,41396,41573,41573,41573,6740,10729,6131,6131,5600,5600,5600,343,24866,45204,6270,12736,12736,8546,8518,12650,4190,4133,4133,4190,2450,2450,2640,1431,3348,1180,817,13.45,10.72,0.34,9.56,10.5,12.71,52.29,41.7,5.99,7.67,23.95,22.87,39.77,12.3,6.07,35.4,15.01,8.41,4.89,30.44,18.28,9.85,1.97,17.15,17.09,17.04,0.38,19.08,4.93,5.79,11.08,2.35,5.91,9,17.66,4.47,4.38,4.02,3.75,8.85,8.85,0.28,2.89,15.99,2.98,2.18,35160.12
